StockCode,Description,InvoiceNo,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,category
10002,INFLATABLE POLITICAL GLOBE ,71,71,71,71,49,71,
10080,GROOVY CACTUS INFLATABLE,22,22,22,22,21,22,
10080,check,1,1,1,1,0,1,
10120,DOGGY RUBBER,30,30,30,30,30,30,
10123C,HEARTS WRAPPING TAPE ,3,3,3,3,3,3,
10124A,SPOTS ON RED BOOKCOVER TAPE,5,5,5,5,5,5,
10124G,ARMY CAMO BOOKCOVER TAPE,4,4,4,4,4,4,
10125,MINI FUNKY DESIGN TAPES,94,94,94,94,64,94,
10133,COLOURING PENCILS BROWN TUBE,199,199,199,199,125,199,
10133,damaged,1,1,1,1,0,1,
10135,COLOURING PENCILS BROWN TUBE,180,180,180,180,122,180,
11001,ASSTD DESIGN RACING CAR PEN,120,120,120,120,69,120,
15030,FAN BLACK FRAME ,13,13,13,13,13,13,
15034,PAPER POCKET TRAVELING FAN ,142,142,142,142,95,142,
15036,ASSORTED COLOURS SILK FAN,523,523,523,523,329,523,
15039,SANDALWOOD FAN,149,149,149,149,74,149,
15044A,PINK PAPER PARASOL ,104,104,104,104,80,104,
15044B,BLUE PAPER PARASOL ,61,61,61,61,49,61,
15044C,PURPLE PAPER PARASOL,91,91,91,91,63,91,
15044D,RED PAPER PARASOL,87,87,87,87,76,87,
15056BL,EDWARDIAN PARASOL BLACK,326,326,326,326,296,326,
15056N,EDWARDIAN PARASOL NATURAL,467,467,467,467,388,467,
15056P,EDWARDIAN PARASOL PINK,150,150,150,150,141,150,
15056bl,EDWARDIAN PARASOL BLACK,62,62,62,62,0,62,
15056n,EDWARDIAN PARASOL NATURAL,84,84,84,84,0,84,
15056p,EDWARDIAN PARASOL PINK,26,26,26,26,0,26,
15058A,BLUE POLKADOT GARDEN PARASOL,93,93,93,93,55,93,
15058A,wet/rusty,1,1,1,1,0,1,
15058B,PINK POLKADOT GARDEN PARASOL,99,99,99,99,43,99,
15058C,ICE CREAM DESIGN GARDEN PARASOL,72,72,72,72,30,72,
15058C,wet/rusty,1,1,1,1,0,1,
15060B,FAIRY CAKE DESIGN UMBRELLA,132,132,132,132,96,132,
15060b,FAIRY CAKE DESIGN UMBRELLA,3,3,3,3,0,3,
16008,SMALL FOLDING SCISSOR(POINTED EDGE),70,70,70,70,70,70,
16008,check,1,1,1,1,0,1,
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3,3,3,3,3,3,
16011,ANIMAL STICKERS,47,47,47,47,47,47,
16012,FOOD/DRINK SPONGE STICKERS,37,37,37,37,37,37,
16014,SMALL CHINESE STYLE SCISSOR,54,54,54,54,54,54,
16015,MEDIUM CHINESE STYLE SCISSOR,24,24,24,24,24,24,
16016,LARGE CHINESE STYLE SCISSOR,65,65,65,65,65,65,
16020C,CLEAR STATIONERY BOX SET ,17,17,17,17,2,17,
16033,MINI HIGHLIGHTER PENS,4,4,4,4,4,4,
16043,POP ART PUSH DOWN RUBBER ,2,2,2,2,2,2,
16045,POPART WOODEN PENCILS ASST,69,69,69,69,69,69,
16045,check,1,1,1,1,0,1,
16046,TEATIME PEN CASE & PENS,17,17,17,17,16,17,
16048,TEATIME ROUND PENCIL SHARPENER ,69,69,69,69,49,69,
16049,TEATIME GEL PENS ASST,5,5,5,5,5,5,
16052,TEATIME PUSH DOWN RUBBER,13,13,13,13,6,13,
16054,POPART RECT PENCIL SHARPENER ASST,34,34,34,34,34,34,
16151A,FLOWERS HANDBAG blue and orange,3,3,3,3,3,3,
16156L,WRAP CAROUSEL,14,14,14,14,14,14,
16156L,"WRAP, CAROUSEL",4,4,4,4,4,4,
16156S,WRAP PINK FAIRY CAKES ,167,167,167,167,167,167,
16161G,WRAP BAD HAIR DAY,22,22,22,22,22,22,
16161M,WRAP  PINK FLOCK,1,1,1,1,1,1,
16161P,WRAP ENGLISH ROSE ,250,250,250,250,250,250,
16161U,WRAP SUKI AND FRIENDS,135,135,135,135,135,135,
16162L,THE KING GIFT BAG,8,8,8,8,6,8,
16162M,THE KING GIFT BAG 25x24x12cm,8,8,8,8,7,8,
16162M,alan hodge cant mamage this section,1,1,1,1,0,1,
16168M,FUNKY MONKEY GIFT BAG MEDIUM,41,41,41,41,20,41,
16168M,found,1,1,1,1,0,1,
16169E,WRAP 50'S  CHRISTMAS,152,152,152,152,152,152,
