StockCode,Description,category,Unnamed: 3,Unnamed: 4,category1
10002,INFLATABLE POLITICAL GLOBE ,inflatable,,,inflatable
10080,GROOVY CACTUS INFLATABLE,inflatable,,,stationary
10080,check,stationary,,,rubber
10120,DOGGY RUBBER,rubber,,,tape
10123C,HEARTS WRAPPING TAPE ,tape,,,tube
10124A,SPOTS ON RED BOOKCOVER TAPE,tape,,,pens
10124G,ARMY CAMO BOOKCOVER TAPE,tape,,,fan
10125,MINI FUNKY DESIGN TAPES,tape,,,parasol
10133,COLOURING PENCILS BROWN TUBE,tube,,,
10133,damaged,tube,,,umbrella
10135,COLOURING PENCILS BROWN TUBE,tube,,,scissors
11001,ASSTD DESIGN RACING CAR PEN,pens,,,stickers
15030,FAN BLACK FRAME ,fan,,,box
15034,PAPER POCKET TRAVELING FAN ,fan,,,pencils
15036,ASSORTED COLOURS SILK FAN,fan,,,hand bag
15039,SANDALWOOD FAN,fan,,,wraps
15044A,PINK PAPER PARASOL ,parasol,,,gift bag
15044B,BLUE PAPER PARASOL ,parasol,,,folkart
15044C,PURPLE PAPER PARASOL,parasol,,,carpet
15044D,RED PAPER PARASOL,parasol,,,photo album
15056BL,EDWARDIAN PARASOL BLACK,parasol,,,sharpener
15056N,EDWARDIAN PARASOL NATURAL,parasol,,,instrument
15056P,EDWARDIAN PARASOL PINK,parasol,,,eraser
15056bl,EDWARDIAN PARASOL BLACK,parasol,,,incense
15056n,EDWARDIAN PARASOL NATURAL,parasol,,,cushions
15056p,EDWARDIAN PARASOL PINK,parasol,,,incense holder
15058A,BLUE POLKADOT GARDEN PARASOL,parasol,,,drawer liner
15058A,wet/rusty,parasol,,,art decoration
15058B,PINK POLKADOT GARDEN PARASOL,parasol,,,sand toy
15058C,ICE CREAM DESIGN GARDEN PARASOL,parasol,,,key chains
15058C,wet/rusty,,,,oil burner
15060B,FAIRY CAKE DESIGN UMBRELLA,umbrella,,,candle holders
15060b,FAIRY CAKE DESIGN UMBRELLA,umbrella,,,passport cover
16008,SMALL FOLDING SCISSOR(POINTED EDGE),scissors,,,luggage tag
16008,check,scissors,,,purse
16010,FOLDING CAMPING SCISSOR W/KNIF & S,scissors,,,disco ball
16011,ANIMAL STICKERS,stickers,,,bowl
16012,FOOD/DRINK SPONGE STICKERS,stickers,,,hair slides
16014,SMALL CHINESE STYLE SCISSOR,scissors,,,toy
16015,MEDIUM CHINESE STYLE SCISSOR,scissors,,,soft toy
16016,LARGE CHINESE STYLE SCISSOR,scissors,,,cushion cover
16020C,CLEAR STATIONERY BOX SET ,boxes,,,mobile cover
16033,MINI HIGHLIGHTER PENS,pens,,,Shopping Bag
16043,POP ART PUSH DOWN RUBBER ,rubber,,,lunch bag
16045,POPART WOODEN PENCILS ASST,pencils,,,measuring tape
16045,check,pencils,,,coffee set
16046,TEATIME PEN CASE & PENS,pens,,,boxes
16048,TEATIME ROUND PENCIL SHARPENER ,pencils,,,washing gloves
16049,TEATIME GEL PENS ASST,pens,,,pocket book
16052,TEATIME PUSH DOWN RUBBER,rubber,,,sketchbook
16054,POPART RECT PENCIL SHARPENER ASST,pencils,,,journal
16151A,FLOWERS HANDBAG blue and orange,hand bag,,,notebook
16156L,WRAP CAROUSEL,wraps,,,headphone
16156L,"WRAP, CAROUSEL",wraps,,,stool
16156S,WRAP PINK FAIRY CAKES ,wraps,,,tray
16161G,WRAP BAD HAIR DAY,wraps,,,hook
16161M,WRAP  PINK FLOCK,wraps,,,ceramic ball
16161P,WRAP ENGLISH ROSE ,wraps,,,glass
16161U,WRAP SUKI AND FRIENDS,wraps,,,dish
16162L,THE KING GIFT BAG,gift bag,,,mirror
16162M,THE KING GIFT BAG 25x24x12cm,gift bag,,,glittery
16162M,alan hodge cant mamage this section,,,,photo frame
16168M,FUNKY MONKEY GIFT BAG MEDIUM,gift bag,,,wall decoration
16168M,found,,,,charger
16169E,WRAP 50'S  CHRISTMAS,wraps,,,cosmetic bag
16169E,check,,,,candles
16169K,WRAP FOLK ART,folkart,,,bowls
16169M,WRAP DAISY CARPET ,carpet,,,usb
16169N,WRAP BLUE RUSSIAN FOLKART,folkart,,,bell
16169P,WRAP GREEN RUSSIAN FOLKART ,folkart,,,bath sponge
16202A,PASTEL PINK PHOTO ALBUM ,photo album,,,schoolbag
16202B,PASTEL BLUE PHOTO ALBUM ,photo album,,,trinket box
16202E,BLACK PHOTO ALBUM ,photo album,,,calculator
16206B,RED PURSE WITH PINK HEART,hand bag,,,oven gloves
16207A,PINK STRAWBERRY HANDBAG ,hand bag,,,washbag
16207A,check,hand bag,,,tree decoration
16207B,PINK HEART RED HANDBAG,hand bag,,,towel set
16216,LETTER SHAPE PENCIL SHARPENER,sharpener,,,apron
16218,CARTOON  PENCIL SHARPENERS,sharpener,,,mug
16219,HOUSE SHAPE PENCIL SHARPENER,sharpener,,,napkins set
16225,RATTLE SNAKE EGGS,instrument,,,paper cups
16235,RECYCLED PENCIL WITH RABBIT ERASER,eraser,,,paper plates
16236,KITTY PENCIL ERASERS,eraser,,,napkins
16237,SLEEPING CAT ERASERS,eraser,,,flannel
16238,PARTY TIME PENCIL ERASERS,eraser,,,doorstop
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,photo album,,,gnome
16248B,BLUE HOLE PUNCH,stationary,,,postcard
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,tape,,,pears
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,rubber,,,hanger
16259,PIECE OF CAMO STATIONERY SET,stationary,,,metal sign
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,incense,,,garland
17003,BROCADE RING PURSE ,hand bag,,,confetti
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,cushions,,,coasters
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,incense,,,cake cases
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,incense,,,tea cutlery
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,incense,,,tin box
17012B,check,incense,,,badges
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,incense,,,trinket pot
17012C,check,incense,,,cups
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,incense,,,plate
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,incense,,,sewing box
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,incense,,,first aid box
17012F,check,incense,,,tapes
17013D,ORIGAMI ROSE INCENSE IN TUBE,incense,,,cutlery stand
17014A,ORIGAMI VANILLA INCENSE CONES,incense,,,shelf
17021,NAMASTE SWAGAT INCENSE,incense,,,drawers
17028J,INCENSE BAZAAR PEACH,incense,,,kitchen matress
17038,PORCELAIN BUDAH INCENSE HOLDER,incense holder,,,magnets
17084A,TRANQUILITY MASALA INCENSE,incense,,,hanging decoration
17084J,LOVE POTION MASALA INCENSE,incense,,,writing set
17084N,FAIRY DREAMS INCENSE ,incense,,,plant holder
17084P,DRAGONS BLOOD INCENSE,incense,,,wreath
17084R,ASSORTED INCENSE PACK,incense,,,wood letters
17090A,LAVENDER INCENSE 40 CONES IN TIN,incense,,,camphorwoord
17090D,VANILLA INCENSE 40 CONES IN TIN,incense,,,beaker
17091A,LAVENDER INCENSE IN TIN,incense,,,spoon
17091A,found,incense,,,soap dish
17091J,VANILLA INCENSE IN TIN,incense,,,jewelery box
17096,ASSORTED LAQUERED INCENSE HOLDERS,incense holder,,,garden acessory
17107D,FLOWER FAIRY 5 DRAWER LINERS,drawer liner,,,birdhouse
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,drawer liner,,,peg
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",drawer liner,,,book
17109D,Adjustment,,,,easter decoration
17109D,FLOWER FAIRY INCENSE BOUQUET,incense,,,letters
17129F,BLUE GLASS GEMS IN BAG,art decoration,,,food cover
17136A,BLUE STONES ON WIRE FOR CANDLE,art decoration,,,table
17136A,check,art decoration,,,water bottle
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,sand toy,,,gift wrap
17165D,ASS COL LARGE SAND FROG P'WEIGHT,sand toy,,,greeting card
17174,ASSTD RASTA KEY-CHAINS,key chains,,,doormat
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,incense,,,teapot
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,incense,,,garden decoration
18094C,WHITE AND BLUE CERAMIC OIL BURNER,oil burner,,,jug
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,candle holders,,,butter dish
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,candle holders,,,sticker tatoos
18098C,PORCELAIN BUTTERFLY OIL BURNER,oil burner,,,trinket tray
18098c,PORCELAIN BUTTERFLY OIL BURNER,oil burner,,,lunch box
20615,BLUE POLKADOT PASSPORT COVER,passport cover,,,skirt
20616,CHERRY BLOSSOM PASSPORT COVER,passport cover,,,bucket
20617,FIRST CLASS PASSPORT COVER ,passport cover,,,matches
20618,QUEEN OF THE SKIES PASSPORT COVER ,passport cover,,,stress ball
20619,TROPICAL PASSPORT COVER ,passport cover,,,meter
20622,VIP PASSPORT COVER ,passport cover,,,cushion
20622,VIPPASSPORT COVER ,passport cover,,,keychain
20652,BLUE POLKADOT LUGGAGE TAG ,luggage tag,,,pen
20652,check,luggage tag,,,bracelet
20653,CHERRY BLOSSOM LUGGAGE TAG,luggage tag,,,bottle
20654,FIRST CLASS LUGGAGE TAG ,luggage tag,,,jar
20655,QUEEN OF SKIES LUGGAGE TAG,luggage tag,,,drawer knob
20657,TROPICAL LUGGAGE TAG,luggage tag,,,candlepot
20658,RED RETROSPOT LUGGAGE TAG,luggage tag,,,lights
20659,ECONOMY LUGGAGE TAG,luggage tag,,,drawer
20661,BLUE POLKADOT PURSE ,purse,,,slippers
20662,FIRST CLASS HOLIDAY PURSE ,purse,,,games
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,purse,,,bathroom bottle
20664,TROPICAL HOLIDAY PURSE ,purse,,,recipe box
20665,RED RETROSPOT PURSE ,purse,,,cutlery box
20665,adjustment,purse,,,rain coat
20665,dotcom,purse,,,ran hat
20666,ECONOMY HOLIDAY PURSE,purse,,,cards
20667,CHERRY BLOSSOM PURSE,purse,,,basket
20668,DISCO BALL CHRISTMAS DECORATION,disco ball,,,toys
20669,RED HEART LUGGAGE TAG,luggage tag,,,torch
20670,VIP HOLIDAY PURSE,purse,,,ribons
20671,BLUE TEATIME PRINT BOWL ,bowl,,,cake stand
20674,GREEN POLKADOT BOWL,bowl,,,gift box
20675,BLUE POLKADOT BOWL,bowl,,,gift tape
20676,RED RETROSPOT BOWL,bowl,,,skittles
20677,PINK POLKADOT BOWL,bowl,,,garden accesory
20678,LARGE BLACK DIAMANTE HAIRSLIDE,hair slides,,,key fob
20679,EDWARDIAN PARASOL RED,parasol,,,chalksticks
20681,MIA,,,,hammock
20681,PINK POLKADOT CHILDRENS UMBRELLA,umbrella,,,jumbo bag
20682,RED RETROSPOT CHILDRENS UMBRELLA,umbrella,,,picnicbag
20684,STRAWBERRY DREAM CHILDS UMBRELLA,umbrella,,,shirt
20685,DOORMAT RED RETROSPOT,carpet,,,chopsticks
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,umbrella,,,tissues
20694,?,,,,stationary set
20694,FLORAL PINK MONSTER,toy,,,plates
20695,FLORAL BLUE MONSTER,toy,,,ribbon
20696,FLORAL SOFT CAR TOY,toy,,,tissue box
20697,LITTLE GREEN MONSTER SOFT TOY,soft toy,,,lamps
20698,LITTLE PINK MONSTER SOFT TOY,soft toy,,,block letters
20699,MOUSEY LONG LEGS SOFT TOY,soft toy,,,towels
20700,?,toy,,,outlier
20700,GREEN CAT FLORAL CUSHION COVER ,cushion cover,,,party cone
20701,PINK CAT FLORAL CUSHION COVER ,cushion cover,,,Food Container
20702,PINK PADDED MOBILE,mobile cover,,,Cup
20703,BLUE PADDED SOFT MOBILE,mobile cover,,,Ladle
20704,MR ROBOT SOFT TOY,soft toy,,,Bathroom Décor
20705,MRS ROBOT SOFT TOY,soft toy,,,Baking Set
20707,CRAZY DAISY HEART DECORATION,art decoration,,,Tea set
20711,JUMBO BAG TOYS ,toy,,,Chrismas Tree
20711,check,toy,,,Tree Décor
20711,lost in space,toy,,,Art Décor
20712,JUMBO BAG WOODLAND ANIMALS,toy,,,dinner set
20713,Found,toy,,,Dress Décor
20713,JUMBO BAG OWLS,toy,,,Buttons
20713,Marked as 23343,toy,,,Card holder
20713,found,toy,,,Picture Frame
20713,wrongly coded 23343,toy,,,Lamp
20713,wrongly coded-23343,toy,,,Clock
20713,wrongly marked 23343,toy,,,Spoons
20713,wrongly marked. 23343 in box,toy,,,Popcorn Holder
20716,PARTY FOOD SHOPPER BAG,Shopping Bag,,,Frying Pan
20717,STRAWBERRY SHOPPER BAG,Shopping Bag,,,Milk Pan
20718,RED RETROSPOT SHOPPER BAG,Shopping Bag,,,Hooks
20719,WOODLAND CHARLOTTE BAG,hand bag,,,Game
20723,STRAWBERRY CHARLOTTE BAG,hand bag,,,Décor
20724,RED RETROSPOT CHARLOTTE BAG,hand bag,,,Plant
20725,LUNCH BAG RED RETROSPOT,lunch bag,,,Trellis
20725,LUNCH BAG RED SPOTTY,lunch bag,,,Tea pot cover
20726,LUNCH BAG WOODLAND,lunch bag,,,Mug cover
20727,LUNCH BAG  BLACK SKULL.,lunch bag,,,Straws
20728,LUNCH BAG CARS BLUE,lunch bag,,,hair clips
20731,POSY CANDY BAG,Shopping Bag,,,Kids Bag
20733,GOLD MINI TAPE MEASURE ,measuring tape,,,Snack Boxes
20734,SILVER MINI TAPE MEASURE ,measuring tape,,,Party Bag
20735,BLACK MINI TAPE MEASURE ,measuring tape,,,Glass Jar
20748,Found,measuring tape,,,Bottle Bag
20748,KENSINGTON COFFEE SET,coffee set,,,Recycling Bag
20749,ASSORTED COLOUR MINI CASES,boxes,,,Paperweight
20750,RED RETROSPOT MINI CASES,boxes,,,Money Box
20751,FUNKY WASHING UP GLOVES ASSORTED,washing gloves,,,Sticker
20751,check,washing gloves,,,Paper Ream
20752,BLUE POLKADOT WASHING UP GLOVES,washing gloves,,,Watering Can
20752,check,washing gloves,,,Balloon Pump
20754,Found,washing gloves,,,Balloons
20754,RETROSPOT RED WASHING UP GLOVES,washing gloves,,,Flower Set
20755,BLUE PAISLEY POCKET BOOK,pocket book,,,Pencil Case
20756,GREEN FERN POCKET BOOK,pocket book,,,Chalkboard
20757,RED DAISY POCKET BOOK ,pocket book,,,Fork
20758,ABSTRACT CIRCLES POCKET BOOK,pocket book,,,Trowel
20759,CHRYSANTHEMUM POCKET BOOK ,pocket book,,,Dinner Tray
